date,ticker,name,open,high,low,close,prev_close,change_pct,volume,value_iqd,trades
2026-09-09,BINI,Iraq Noor Islamic Bank for Investment,,,,0.2,,,0.0,,0.0
2026-09-09,BTRI,Trans Iraq Bank Investment,,,,0.27,,,0.0,,0.0
2026-09-09,BAAI,Arab Islamic Bank,,,,1.0,,,0.0,,0.0
2026-09-09,BQUR,Al-Qurtas Islamic Bank,,,,1.0,,,0.0,,0.0
2026-09-09,BMAL,AL- Mal Islamic Bank,,,,1.0,,,0.0,,0.0
2026-09-09,BERI,Erbil Investment & FinanceBank,,,,0.11,,,0.0,,0.0
2026-09-09,BRTB,Region Trade Bank,,,,1.01,,,0.0,,0.0
2026-09-09,BIDB,International Development Bank,,,,1.05,,,0.0,,0.0
2026-09-09,BRAJ,Al-Rajih Islamic Bank,,,,1.0,,,0.0,,0.0
2026-09-09,BMUI,Al-Mustashar Islamic Bank for Investment,,,,1.0,,,0.0,,0.0
2026-09-09,BTRU,Trust International Islamic Bank,,,,0.75,,,0.0,,0.0
2026-09-09,BJAB,Al janoob Islamic Bank,,,,0.94,,,0.0,,0.0
2026-09-09,BAMS,Al-Mashreq Al-Arabi Islamic Bank,,,,0.85,,,0.0,,0.0
2026-09-09,NAHF,Alahliya For Insurance,,,,0.82,,,0.0,,0.0
2026-09-09,VWIF,AL-Wiaam for Financial Investment,,,,0.68,,,0.0,,0.0
2026-09-09,VAMF,Al-Ameen for Financial Investment,,,,1.26,,,0.0,,0.0
2026-09-09,HASH,Ashour Hotel,,,,25.99,,,0.0,,0.0
2026-09-09,SIBD,Ibdaa Al-sharq Alwast General Contracting,,,,1.0,,,0.0,,0.0
2026-09-09,SAEI,Al-Ameen Estate Investment,,,,1.66,,,0.0,,0.0
2026-09-09,IBPM,Baghdad for Packing Materials,,,,3.0,,,0.0,,0.0
2026-09-09,IMCI,Modern chemical industries,,,,100.0,,,0.0,,0.0
2026-09-09,BUOI,Union Bank of Iraq,,,,0.16,,,0.0,,0.0
2026-09-09,BWOR,World Islamic Bank for Investment,,,,1.0,,,0.0,,0.0
2026-09-09,BAME,Ameen Al-Iraq Islamic Bank,,,,1.0,,,0.0,,0.0
2026-09-09,SBAG,AL-Badia for General Trans,,,,1.2,,,0.0,,0.0
2026-09-09,IMCM,Modern Construction Materials,,,,1.35,,,0.0,,0.0
2026-09-09,ITLI,The Light Industries,,,,1.27,,,0.0,,0.0
2026-09-09,IICM,Iraqi Carton Manufactories,,,,1.8,,,0.0,,0.0
2026-09-09,HSAD,Al-Sadeer Hotel,,,,24.0,,,0.0,,0.0
2026-09-09,HNTI,National for Tourist Investment,,,,9.0,,,0.0,,0.0
2026-09-09,ABAP,Babil Animal & Vegetable Production ,,,,8.45,,,0.0,,0.0
2026-09-09,AMAP,Modern for Animal Production,,,,0.34,,,0.0,,0.0
